Date and Time,Location,Incident Description,Information on Suspects or Witnesses,Damage (€)
2025-01-20 17:45,Online,"I received an email from 'PayPal' stating that my account had been suspended due to suspicious activities. To regain access, I was asked to enter my login credentials on a linked website. The site looked exactly like the real PayPal login page. It was only when I was unable to access my real account the next day that I realized I had fallen victim to fraud.",Sender email address: support@paypal-service.com,1200
2025-03-10 08:15,Frankfurt am Main,"When I arrived at the office this morning and started my computer, I was unable to log into the system. A message appeared on all screens in our department stating that our data had been encrypted and that we had to pay €2.5 million in Bitcoin to regain access. Our IT team immediately investigated and found that our customer databases and financial transactions were affected. It appears that the attackers exploited a security vulnerability to access the network. We shut down all systems immediately and notified the authorities.","We received a ransom note with a darknet address, but there are no direct leads on the perpetrators.",2500000
2025-03-10 17:40,Online,"I received an email from 'Apple' claiming that my iCloud account had been suspended due to suspicious activities. I was asked to log in via a link to regain access. Shortly after entering my credentials, my account was taken over and foreign devices were registered on it.",Sender email address: noreply@icloud-security.com,Unknown
2025-02-20 08:30,Online,"I received an email from an online store promising me a voucher for a free purchase. I clicked on the link and entered my credit card details. Later, I noticed multiple unauthorized charges.",Sender email address: deals@shopping-special.com,400
2025-03-05 13:25,Online,"I received an email from 'Netflix' informing me that my account would be suspended unless I immediately updated my payment information. The message contained a link leading to a convincingly fake website. After entering my credit card details, I noticed several unauthorized charges a few days later.",Sender email address: support@netflix-secure.com,850
2025-01-12 14:20,Online,"I received an email that supposedly came from my mobile service provider. The message claimed that an invoice had not been paid and that my service would be suspended unless I made an immediate payment via the provided link. The email even contained my customer account details and looked authentic. After clicking the link and entering my banking details, I noticed unauthorized withdrawals from my account a few days later.",Sender email address: service@mobilfunk-rechnung.com,750
2025-02-28 08:20,Leipzig – City Administration,"I work as an administrative clerk in Leipzig's city administration. This morning, we discovered that our entire administrative network was inaccessible. Later, it was revealed that hackers had logged into our system and accessed personnel and tax records. The servers were immediately shut down, but initial indications suggest that sensitive data was stolen. The administration has advised all citizens not to enter personal information online until IT security experts have resolved the situation.",Suspicious access through a compromised employee account.,Unknown
2025-05-30 18:20,Berlin – National News Agency,"Our news platform became the target of a coordinated DDoS attack this evening. At around 18:20, we experienced severe server overload, leading to a complete shutdown of our website within minutes. Our IT experts found that the attack originated from numerous foreign IP addresses. Particularly concerning: the attack occurred just hours after we published a critical article on organized crime. We suspect a targeted attack and have informed the authorities.","Unknown perpetrators, IT analysis shows suspicious traffic from multiple anonymous networks.",Unknown
2025-04-15 11:00,Online,"This morning, I received an email that appeared to be from my bank. The message stated that I needed to perform a security check on my online banking account. I clicked the link and entered my login details. A few minutes later, I received an SMS about an alleged transaction from my account. When I tried to log in again, my access was blocked. Later, it was discovered that malware had been installed on my phone, capturing my banking credentials.",The scammer's email address was 'sicherheit@bank-verifikation.com'.,1200
2025-05-10 20:30,Online,"I wanted to download a paid navigation app for free and installed an app from an unknown source. After installation, my smartphone was immediately locked, and a message appeared: 'Your device has been locked! Pay €500 in Bitcoin to unlock it.' I could no longer use my phone, and even restarting did not help. I contacted the manufacturer, but it looks like my personal data may have been stolen.",The app was downloaded from a website called 'free-gps-navigation.com'.,500
2025-02-15 12:10,Online,"I received a WhatsApp message from an unknown contact claiming to be my mobile service provider. They asked me to verify my SIM card by clicking on a link. After doing so, my number was used for fraudulent activities.",WhatsApp sender: +49 160 9876543,Unknown
2025-04-30 23:45,Online,"I came home and found that my smart lights, heating system, and even my security cameras were no longer working. Instead, my smart home control panel displayed a message: 'Your system has been locked! Transfer €2,000 in Bitcoin to regain control.' I immediately unplugged my router and tried resetting the systems, but the hackers had apparently taken over my entire network.","No direct leads on the perpetrators, but there was a suspicious email with an alleged update link.",2000
2025-02-10 09:00,Leipzig,"I work in the IT department of the city administration. This morning, several employees reported that they could no longer log into their systems. Shortly afterward, a message from the attackers appeared on their screens: All administrative documents, including citizen registration records and tax files, had been encrypted. The perpetrators demanded €1.2 million for decryption. We informed our IT security experts and isolated the affected systems, but many citizen services are currently unavailable.",A suspicious email with the attachment 'Tax Notice 2025.pdf.exe' was opened by several employees.,1200000
2025-04-18 21:10,Online – Gaming Platform,"This evening, we experienced a sudden spike in server connections, resulting in a complete outage of our online gaming system. Players reported disconnections and loading errors, while our monitoring system recorded an unusually high number of simultaneous requests. The attack prevented millions of players worldwide from accessing the service. Restoration took nearly 24 hours. This attack appears to have been deliberate—possibly by competing entities or disgruntled users.","Unknown perpetrators, high traffic detected from bot networks originating from various countries.",Unknown
2025-04-30 22:00,Düsseldorf – University Hospital,"Last night, our emergency department's IT system suddenly failed. No patient records could be accessed, and digital medical records were unavailable. Later, it was revealed that unknown hackers had breached our network and attempted to encrypt the data. Thanks to the quick intervention of the IT department, the attack was stopped, but it remains unclear whether patient data was stolen. Emergency operations had to be temporarily documented manually.",Suspicious email with malware was sent to multiple hospital employees.,Unknown
2025-02-25 19:50,Online,"I received a Facebook message from someone appearing to be a friend, asking for financial help. I sent money via a link, only to later find out that their account had been hacked.",Scammer's Facebook account: @help-me-fast,200
2025-05-02 15:20,Online,"I received a notification on my laptop stating that an important security update for my operating system was available. The message looked legitimate, so I installed the update. After restarting, all my files were encrypted, and a message appeared demanding €1,200 in Bitcoin to restore them. I tried various decryption tools, but nothing worked.",The update was offered via a pop-up advertisement on a tech website.,1200
2025-04-02 10:10,Online,"Our accounting department received an email that appeared to be from our CEO. The message urgently requested a payment of €15,000 to a new business partner, which had to be processed immediately. The email address looked legitimate, but the payment was made to a fraudulent account. It was only after an internal phone call that we realized our CEO had never issued such an instruction.",Sender email address: ceo-office@itcompany-munich.com,15000
2025-04-18 11:00,Online,"I bought a used USB stick at a flea market that supposedly contained high-quality software. When I plugged it into my computer, nothing happened at first. The next day, all my documents, photos, and videos were inaccessible. Instead, a ransom note appeared on my screen: Pay €900 in Bitcoin, or my data would remain locked. I removed the USB stick and disconnected my PC from the internet, but my files are still inaccessible.",USB stick was purchased from a private seller at a flea market.,900
2025-03-22 10:30,Leipzig – Major Online Pharmacy,"This morning, we discovered that our website was no longer accessible. Our IT experts identified a server overload caused by an unusually high number of simultaneous requests. Within a short period, our entire ordering system was rendered non-functional. Customers were unable to order medications, and ongoing delivery processes were disrupted. Particularly concerning is that this attack jeopardized the supply of essential medicines to patients. We take this incident very seriously and are working with IT security authorities to identify the attackers.","Unknown perpetrators, suspicious traffic spikes detected from international servers.",Unknown
2025-05-12 03:15,Munich – Local Energy Provider,"I work in the IT security department of a regional energy provider. Last night, we noticed that several servers for power grid management had been unlawfully modified. External attackers attempted to manipulate control software, nearly causing a local power outage. Our system's firewall recorded massive login attempts from abroad. We managed to isolate the system in time, but the attack showed that we were the target of a large-scale cyberattack.","Unknown group, evidence suggests an organized cyberattack from abroad.",Unknown
2025-04-28 12:15,Online,"I received a WhatsApp message from someone pretending to be a family member, claiming they had a new phone number and urgently needed money. The message was emotional and convincing. Without suspecting anything, I transferred €1,500 to the provided account. It was only after speaking to my real relative that I realized it was a scam.",WhatsApp sender: +49 176 9876543,1500
2025-06-25 09:45,Munich – International Airline,"This morning, our IT infrastructure was hit by a massive DDoS attack. We first noticed unusually high server loads in our online check-in system. Within minutes, both our website and mobile app became inaccessible. Customers were unable to view bookings or retrieve boarding passes. As a result, several flights experienced delays in processing. Our IT department is working on stabilizing the systems while we investigate the origin of the attacks.","Suspicious IP addresses registered from multiple countries, possibly a coordinated attack.",Unknown
2025-03-25 11:30,Online,"I received an email from 'eBay Kleinanzeigen' claiming that my last transaction was suspicious and that I needed to authenticate myself via a provided link. I logged in on the website, but shortly after, several expensive items were sold through my account without my knowledge.",Sender email address: service@ebay-kleinanzeigen-support.com,1750
